exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp,damage_scale_factor
93,inequal_aversion_elasmu_disutil,False,2,0.5,0.001,3
94,inequal_aversion_elasmu_disutil,False,2,0.5,0.015,1
95,inequal_aversion_elasmu_disutil,False,2,0.5,0.015,2
96,inequal_aversion_elasmu_disutil,False,2,0.5,0.015,3
97,inequal_aversion_elasmu_disutil,False,2,0.5,0.03,1
98,inequal_aversion_elasmu_disutil,False,2,0.5,0.03,2
99,inequal_aversion_elasmu_disutil,False,2,0.5,0.03,3
100,inequal_aversion_elasmu_disutil,False,2,0.95,0.001,1
101,inequal_aversion_elasmu_disutil,False,2,0.95,0.001,2
102,inequal_aversion_elasmu_disutil,False,2,0.95,0.001,3
103,inequal_aversion_elasmu_disutil,False,2,0.95,0.015,1
104,inequal_aversion_elasmu_disutil,False,2,0.95,0.015,2
105,inequal_aversion_elasmu_disutil,False,2,0.95,0.015,3
106,inequal_aversion_elasmu_disutil,False,2,0.95,0.03,1
107,inequal_aversion_elasmu_disutil,False,2,0.95,0.03,2
108,inequal_aversion_elasmu_disutil,False,2,0.95,0.03,3
109,inequal_aversion_elasmu_disutil,False,3,0.05,0.001,1
110,inequal_aversion_elasmu_disutil,False,3,0.05,0.001,2
111,inequal_aversion_elasmu_disutil,False,3,0.05,0.001,3
112,inequal_aversion_elasmu_disutil,False,3,0.05,0.015,1
113,inequal_aversion_elasmu_disutil,False,3,0.05,0.015,2
114,inequal_aversion_elasmu_disutil,False,3,0.05,0.015,3
115,inequal_aversion_elasmu_disutil,False,3,0.05,0.03,1
116,inequal_aversion_elasmu_disutil,False,3,0.05,0.03,2
117,inequal_aversion_elasmu_disutil,False,3,0.05,0.03,3
118,inequal_aversion_elasmu_disutil,False,3,0.5,0.001,1
119,inequal_aversion_elasmu_disutil,False,3,0.5,0.001,2
120,inequal_aversion_elasmu_disutil,False,3,0.5,0.001,3
121,inequal_aversion_elasmu_disutil,False,3,0.5,0.015,1
122,inequal_aversion_elasmu_disutil,False,3,0.5,0.015,2
