exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp
1,inequal_aversion_elasmu,False,1,0.05,0.001
2,inequal_aversion_elasmu,False,1,0.05,0.015
3,inequal_aversion_elasmu,False,1,0.05,0.03
4,inequal_aversion_elasmu,False,1,0.25,0.001
5,inequal_aversion_elasmu,False,1,0.25,0.015
6,inequal_aversion_elasmu,False,1,0.25,0.03
7,inequal_aversion_elasmu,False,1,0.5,0.001
8,inequal_aversion_elasmu,False,1,0.5,0.015
9,inequal_aversion_elasmu,False,1,0.5,0.03
10,inequal_aversion_elasmu,False,1,0.75,0.001
11,inequal_aversion_elasmu,False,1,0.75,0.015
12,inequal_aversion_elasmu,False,1,0.75,0.03
13,inequal_aversion_elasmu,False,1,0.95,0.001
14,inequal_aversion_elasmu,False,1,0.95,0.015
15,inequal_aversion_elasmu,False,1,0.95,0.03
46,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.001
47,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.015
48,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.03
49,inequal_aversion_elasmu,633.829 GtCO2,1,0.25,0.001
50,inequal_aversion_elasmu,633.829 GtCO2,1,0.25,0.015
51,inequal_aversion_elasmu,633.829 GtCO2,1,0.25,0.03
52,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.001
53,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.015
54,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.03
55,inequal_aversion_elasmu,633.829 GtCO2,1,0.75,0.001
56,inequal_aversion_elasmu,633.829 GtCO2,1,0.75,0.015
57,inequal_aversion_elasmu,633.829 GtCO2,1,0.75,0.03
58,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.001
59,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.015
60,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.03
91,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.001
92,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.015
