exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp
100,inequal_aversion_elasmu_disutil,False,2,0.95,0.001
101,inequal_aversion_elasmu_disutil,False,2,0.95,0.001
102,inequal_aversion_elasmu_disutil,False,2,0.95,0.001
103,inequal_aversion_elasmu_disutil,False,2,0.95,0.015
104,inequal_aversion_elasmu_disutil,False,2,0.95,0.015
105,inequal_aversion_elasmu_disutil,False,2,0.95,0.015
106,inequal_aversion_elasmu_disutil,False,2,0.95,0.03
107,inequal_aversion_elasmu_disutil,False,2,0.95,0.03
108,inequal_aversion_elasmu_disutil,False,2,0.95,0.03
109,inequal_aversion_elasmu_disutil,False,3,0.05,0.001
110,inequal_aversion_elasmu_disutil,False,3,0.05,0.001
111,inequal_aversion_elasmu_disutil,False,3,0.05,0.001
112,inequal_aversion_elasmu_disutil,False,3,0.05,0.015
113,inequal_aversion_elasmu_disutil,False,3,0.05,0.015
114,inequal_aversion_elasmu_disutil,False,3,0.05,0.015
115,inequal_aversion_elasmu_disutil,False,3,0.05,0.03
116,inequal_aversion_elasmu_disutil,False,3,0.05,0.03
117,inequal_aversion_elasmu_disutil,False,3,0.05,0.03
118,inequal_aversion_elasmu_disutil,False,3,0.5,0.001
119,inequal_aversion_elasmu_disutil,False,3,0.5,0.001
120,inequal_aversion_elasmu_disutil,False,3,0.5,0.001
121,inequal_aversion_elasmu_disutil,False,3,0.5,0.015
122,inequal_aversion_elasmu_disutil,False,3,0.5,0.015
123,inequal_aversion_elasmu_disutil,False,3,0.5,0.015
124,inequal_aversion_elasmu_disutil,False,3,0.5,0.03
125,inequal_aversion_elasmu_disutil,False,3,0.5,0.03
126,inequal_aversion_elasmu_disutil,False,3,0.5,0.03
127,inequal_aversion_elasmu_disutil,False,3,0.95,0.001
128,inequal_aversion_elasmu_disutil,False,3,0.95,0.001
129,inequal_aversion_elasmu_disutil,False,3,0.95,0.001
130,inequal_aversion_elasmu_disutil,False,3,0.95,0.015
131,inequal_aversion_elasmu_disutil,False,3,0.95,0.015
132,inequal_aversion_elasmu_disutil,False,3,0.95,0.015
133,inequal_aversion_elasmu_disutil,False,3,0.95,0.03
134,inequal_aversion_elasmu_disutil,False,3,0.95,0.03
135,inequal_aversion_elasmu_disutil,False,3,0.95,0.03
136,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.001
137,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.001
