exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp,damage_scale_factor
78,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.05,0.03,1
79,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.25,0.001,1
80,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.25,0.015,1
81,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.25,0.03,1
82,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.5,0.001,1
83,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.5,0.015,1
84,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.5,0.03,1
85,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.75,0.001,1
86,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.75,0.015,1
87,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.75,0.03,1
88,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.95,0.001,1
89,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.95,0.015,1
90,inequal_aversion_elasmu_disutil,500 GtCO2,3,0.95,0.03,1
91,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.05,0.001,1
92,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.05,0.015,1
93,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.05,0.03,1
94,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.25,0.001,1
95,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.25,0.015,1
96,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.25,0.03,1
97,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.5,0.001,1
98,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.5,0.015,1
99,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.5,0.03,1
100,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.75,0.001,1
101,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.75,0.015,1
102,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.75,0.03,1
103,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.95,0.001,1
104,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.95,0.015,1
105,inequal_aversion_elasmu_disutil,1150 GtCO2,1,0.95,0.03,1
106,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.05,0.001,1
107,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.05,0.015,1
108,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.05,0.03,1
109,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.25,0.001,1
110,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.25,0.015,1
111,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.25,0.03,1
112,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.5,0.001,1
113,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.5,0.015,1
114,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.5,0.03,1
115,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.75,0.001,1
116,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.75,0.015,1
117,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.75,0.03,1
118,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.95,0.001,1
119,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.95,0.015,1
120,inequal_aversion_elasmu_disutil,1150 GtCO2,2,0.95,0.03,1
121,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.05,0.001,1
122,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.05,0.015,1
123,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.05,0.03,1
124,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.25,0.001,1
125,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.25,0.015,1
126,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.25,0.03,1
127,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.5,0.001,1
128,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.5,0.015,1
129,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.5,0.03,1
130,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.75,0.001,1
131,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.75,0.015,1
132,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.75,0.03,1
133,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.95,0.001,1
134,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.95,0.015,1
135,inequal_aversion_elasmu_disutil,1150 GtCO2,3,0.95,0.03,1
