exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp
87,inequal_aversion_elasmu,1344 GtCO2,3,0.75,0.03
88,inequal_aversion_elasmu,1344 GtCO2,3,0.95,0.01
89,inequal_aversion_elasmu,1344 GtCO2,3,0.95,0.015
90,inequal_aversion_elasmu,1344 GtCO2,3,0.95,0.03
91,inequal_aversion_elasmu_disutil,False,2,0.05,0.01
92,inequal_aversion_elasmu_disutil,False,2,0.05,0.015
93,inequal_aversion_elasmu_disutil,False,2,0.05,0.03
94,inequal_aversion_elasmu_disutil,False,2,0.25,0.01
95,inequal_aversion_elasmu_disutil,False,2,0.25,0.015
96,inequal_aversion_elasmu_disutil,False,2,0.25,0.03
97,inequal_aversion_elasmu_disutil,False,2,0.5,0.01
98,inequal_aversion_elasmu_disutil,False,2,0.5,0.015
99,inequal_aversion_elasmu_disutil,False,2,0.5,0.03
100,inequal_aversion_elasmu_disutil,False,2,0.75,0.01
101,inequal_aversion_elasmu_disutil,False,2,0.75,0.015
102,inequal_aversion_elasmu_disutil,False,2,0.75,0.03
103,inequal_aversion_elasmu_disutil,False,2,0.95,0.01
104,inequal_aversion_elasmu_disutil,False,2,0.95,0.015
105,inequal_aversion_elasmu_disutil,False,2,0.95,0.03
106,inequal_aversion_elasmu_disutil,False,3,0.05,0.01
107,inequal_aversion_elasmu_disutil,False,3,0.05,0.015
108,inequal_aversion_elasmu_disutil,False,3,0.05,0.03
109,inequal_aversion_elasmu_disutil,False,3,0.25,0.01
110,inequal_aversion_elasmu_disutil,False,3,0.25,0.015
111,inequal_aversion_elasmu_disutil,False,3,0.25,0.03
112,inequal_aversion_elasmu_disutil,False,3,0.5,0.01
113,inequal_aversion_elasmu_disutil,False,3,0.5,0.015
114,inequal_aversion_elasmu_disutil,False,3,0.5,0.03
115,inequal_aversion_elasmu_disutil,False,3,0.75,0.01
116,inequal_aversion_elasmu_disutil,False,3,0.75,0.015
117,inequal_aversion_elasmu_disutil,False,3,0.75,0.03
118,inequal_aversion_elasmu_disutil,False,3,0.95,0.01
119,inequal_aversion_elasmu_disutil,False,3,0.95,0.015
120,inequal_aversion_elasmu_disutil,False,3,0.95,0.03
121,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.01
122,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.015
123,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.03
124,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.25,0.01
125,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.25,0.015
126,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.25,0.03
127,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.01
128,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.015
129,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.03
130,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.75,0.01
131,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.75,0.015
132,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.75,0.03
133,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.01
134,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.015
135,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.03
136,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.01
137,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.015
138,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.03
139,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.25,0.01
140,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.25,0.015
141,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.25,0.03
142,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.01
143,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.015
